MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,County or Parish,State or Prov.,Location,Missing,Link
2279,"P-37","Rutherford Trace",,,,"North Carolina Division of Archives and History",35.56417,-82.54278,,"Asheville","Buncombe County",North Carolina,"Marker is on Hendersonville Road, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=2279
2284,"J-30","Confederate Hospital",,,"1950","Archives, Conservation and Highway Dpartments",36.07526,-79.78855,,"Greensboro","Guilford County",North Carolina,"Marker is on Summit Avenue (U.S. 29) near North Davie Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=2284
2288,"J-104","Mount Hecla Mill",,,"2001","North Carolina Office of Archives ad History",36.07346,-79.79129,,"Greensboro","Guilford County",North Carolina,"Marker is at the intersection of North Greene Street and West Friendly Avenue, on the right when traveling north on North Greene Street. ",,http://www.hmdb.org/m.asp?m=2288
2320,"J-1","O. Henry",,,"1970","Department of Archives and History",36.07283,-79.79528,,"Greensboro","Guilford County",North Carolina,"Marker is on West Market Street near South Edgeworth Street, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=2320
2325,"J-78","Albion W. Tourgée","1835–1905",,"1979","Division of Archives and History",36.06443,-79.78722,,"Greensboro","Guilford County",North Carolina,"Marker is on East Lee Street near Martin Luther King, Jr. Drive, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=2325
2762,"A-16","Dividing Line",,,"1967","Archives and Highway Departments",36.55019,-76.19283,,"Moyock","Currituck County",North Carolina,"Marker is at the intersection of Caratoke Highway (Route 168) and North Point Road, on the right when traveling south on Caratoke Highway. ",,http://www.hmdb.org/m.asp?m=2762
2763,"A-59","Joseph Pilmoor",,,"1998","Division of Archives and History",36.44675,-76.01420,,"Moyock","Currituck County",North Carolina,"Marker is at the intersection of Caratoke Highway (Route 168) and Courthouse Road (North Carolina Highway 1242) on Caratoke Highway. ",,http://www.hmdb.org/m.asp?m=2763
2764,,"Currituck County Courthouse","Confederate Recruiting Center",,,"Civil War Trails",36.44977,-76.01592,,"Currituck","Currituck County",North Carolina,"Marker is on Courthouse Road (State Highway 1242) near Caratoke Highway (State Highway 168), on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=2764
2765,"A-66","McKnight’s Shipyard",,,"1971","State Department of Archives and History",36.37738,-76.08640,,"Shawboro","Currituck County",North Carolina,"Marker is at the intersection of Shortcut Road (U.S. 158) and Indiantown Road, on the right when traveling east on Shortcut Road. ",,http://www.hmdb.org/m.asp?m=2765
2766,"A-47","Yeopim",,,"1992","Division of Archives and History",36.37791,-76.08601,,"Shawboro","Currituck County",North Carolina,"Marker is at the intersection of Indiantown Road and Shortcut Road (U.S. 158), on the left when traveling south on Indiantown Road. ",,http://www.hmdb.org/m.asp?m=2766
2768,"A29","Dempsey Burgess",,,"1948","Archives Conservation and Highway Department",36.32761,-76.17062,"109 N Carolina Hwy 343 S","Camden","Camden County",North Carolina,"Marker is at the intersection of State Highway 343 and NC Highway 34 North (U.S. 158), on the left on State Highway 343. ",,http://www.hmdb.org/m.asp?m=2768
2769,"A-14","First School",,,"1938","State Historical Commission",36.30202,-76.22313,,"Elizabeth City","Pasquotank County",North Carolina,"Marker is at the intersection of North Road Street and West Elizabeth Street, on the right when traveling north on North Road Street. ",,http://www.hmdb.org/m.asp?m=2769
2770,"A-83","W. O. Saunders","1884–1940",,"2004","North Carolina Office of Archives and History",36.30100,-76.22353,,"Elizabeth City","Pasquotank County",North Carolina,"Marker is at the intersection of South Road Street and East Colonial Ave, on the left when traveling south on South Road Street. ",,http://www.hmdb.org/m.asp?m=2770
2772,"A-54","George W. Brooks",,,"1959","Division of Archives and History",36.29577,-76.23012,,"Elizabeth City","Pasquotank County",North Carolina,"Marker is on West Ehringhause Street (U.S. 17) north of Westover Street, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=2772
2773,"A-70","Soybean Processing",,,"1982","Division of Archives and History",36.29699,-76.22080,,"Elizabeth City","Pasquotank County",North Carolina,"Marker is on East Water Street (U.S. 17) near Mcmorrine Street, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=2773
2774,"A-39","J. C. B. Ehringhaus",,,"1977","Division of Archives and History",36.29626,-76.21832,,"Elizabeth City","Pasquotank County",North Carolina,"Marker is on Sourthern Avenue north of Riverside Avenue, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=2774
2777,"A-21","Culpeper’s Rebellion",,,"1940",,36.29811,-76.21892,,"Elizabeth City","Pasquotank County",North Carolina,"Marker is on South Water Street near East Church Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=2777
2782,"A-17","George Washington",,,"1939",,36.48400,-76.57837,,"Corapeake","Gates County",North Carolina,"Marker is on Highway 32 N (State Highway 32) south of Folly Road (County Road 1002), on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=2782
2783,"A-24","First Post Road",,,"1942","Archives and Highway Departments",36.53391,-76.57657,,"Corapeake","Gates County",North Carolina,"Marker is at the intersection of Highway 32 N (State Highway 32) and Corapeake Road, in the median on Highway 32 N. ",,http://www.hmdb.org/m.asp?m=2783
2787,"A-35","North Carolina / Virginia",,,"1949",,36.55072,-76.57559,,"Corapeake","Gates County",North Carolina,"Marker is on Highway 32 N (State Highway 32) north of Adams Swamp Road, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=2787
3260,,"Coweeta Hydrologic Laboratory",,,,"Forest Service, U.S. Department of Agriculture",35.05257,-83.47748,,"Otto","Macon County",North Carolina,"Marker can be reached from National Forest Road (at milepost 1,110). ",,http://www.hmdb.org/m.asp?m=3260
3261,"Q-9","Nikwasi",,,"1993","Division of Archives and History",35.18486,-83.37335,,"Franklin","Macon County",North Carolina,"Marker is at the intersection of East Main Street (Business U.S. 441) and Nikwasi Lane, on the left when traveling east on East Main Street. ",,http://www.hmdb.org/m.asp?m=3261
3267,,"Robert E. Lee",,,"1926","United Daughters of the Confederacy and Friends",35.89104,-82.83179,,"Hot Springs","Madison County",North Carolina,"Marker is at the intersection of U.S. 25 and S. Serpentine, on the right when traveling east on U.S. 25. ",,http://www.hmdb.org/m.asp?m=3267
3269,,"Overmountain Men",,,,,36.12455,-82.05345,,"Valley","Avery County",North Carolina,"Marker can be reached from Roaring Creek Road. ",,http://www.hmdb.org/m.asp?m=3269
3635,,"Bennett Place","<i>The End of War</i>","Carolinas Campaign",,"Civil War Trails",36.02945,-78.97398,"4409 Bennett Memorial Road","Durham","Durham County",North Carolina,"Marker can be reached from the intersection of Bennett Memorial Road and Near Road. ",,http://www.hmdb.org/m.asp?m=3635
3741,,"Battle of Averasboro","Third Confederate Defensive Line","Carolinas Campaign",,"North Carolina Civil War Trails",35.26639,-78.67207,"3300 McLellon Road","Dunn","Harnett County",North Carolina,"Marker is on McLellon Road (State Highway 82), on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=3741
4093,"A-79","Quaker Activity",,,"1993","North Carolina Highway Historical Marker Program",36.19310,-76.45385,,"Hertford","Perquimans County",North Carolina,"Marker is at the intersection of Bypass State Highway 17 and Perquiman's River, on the right when traveling north on State Highway 17Bypass . ",,http://www.hmdb.org/m.asp?m=4093
4588,"I-42","Moore's Camp",,,,"North Carolina Division of Archives and History",34.95581,-78.84462,,"Grays Creek","Cumberland County",North Carolina,"Marker is at the intersection of State Highway 87 and Butler Nursery Road, on the right when traveling south on State Highway 87. ",,http://www.hmdb.org/m.asp?m=4588
4752,,"Mrs. Jessie Stevens Taylor",,,"1966","U.S. Army Friends",33.91750,-78.01780,,"Southport","Brunswick County",North Carolina,"Marker is at the intersection of South Davis Street and East Bay Street, on the right when traveling north on South Davis Street. ",,http://www.hmdb.org/m.asp?m=4752
4754,,"Fort Johnston",,,"1911","The North Carolina Society of Colonial Dames of America, Luola Murchison Sprunt, President; Gabrielle deR. Waddell, Vice President; Carrie E. Prince, Secretary",33.91754,-78.01738,,"Southport","Brunswick County",North Carolina,"Marker is on East Bay Street east of South Davis Street, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=4754
4777,"D-11","Fort Johnston",,,"1938","Department of Conservation and Development",33.91750,-78.01694,,"Southport","Brunswick County",North Carolina,"Marker is on East Bay Street east of South Davis Street. ",,http://www.hmdb.org/m.asp?m=4777
4790,"D-89","Josiah Martin",,,"1988","Division of Archives and History",33.91742,-78.01722,,"Southport","Brunswick County",North Carolina,"Marker is on East Bay Street east of South Davis Street, on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=4790
4792,,"(Map of the First 100 Lots)",,,"2000","the Southport Historical Society. Inspired by Susan C. Carson.",33.91740,-78.01770,,"Southport","Brunswick County",North Carolina,"Marker is at the intersection of South Davis Street and East Bay Street, on the right when traveling north on South Davis Street. ",,http://www.hmdb.org/m.asp?m=4792
4798,"D-93","Robert Ruark","1915 - 1965",,"1991","Division of Archives and History",33.91944,-78.01994,,"Southport","Brunswick County",North Carolina,"Marker is at the intersection of Howe Street (State Highway 211) and Nash Street, on the right when traveling south on Howe Street. ",,http://www.hmdb.org/m.asp?m=4798
4800,,"Robert C. Ruark",,,,,33.91890,-78.02100,,"Southport","Brunswick County",North Carolina,"Marker is at the intersection of N. Lord Street and W. Nash Street, on the right when traveling south on N. Lord Street. ",,http://www.hmdb.org/m.asp?m=4800
4828,"BB-5","Naval Battle of Roanoke Island",,,"1961","Archives and Highway Departments, Confederate Centennial Commission",35.92746,-75.72354,,"Manteo","Dare County",North Carolina,"Marker is on U.S. 64/264 near Freedman's Colony Road, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=4828
4862,"B-2","Fort Huger",,,"1983","Division of Archives and History",35.92709,-75.72359,,"Manteo","Dare County",North Carolina,"Marker is on U.S. 64/264, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=4862
4863,"B-64","Fort Blanchard",,,"2000","North Carolina Office of Archives and History",35.92812,-75.72072,,"Manteo","Dare County",North Carolina,"Marker can be reached from U.S. 64/264. ",,http://www.hmdb.org/m.asp?m=4863
4874,"BBB-2","Fort Bartow",,,"1961","Archives and Highway Departments, Confederate Centennial Commission",35.90590,-75.67410,,"Manteo","Dare County",North Carolina,"Marker is at the intersection of North Virginia Dare Avenue (U.S. 64/264) and Agona Street, on the right when traveling west on North Virginia Dare Avenue. ",,http://www.hmdb.org/m.asp?m=4874
4875,"BBB-3","Confederate Channel Obstructions",,,"1961","Archives and Highway Departments, Confederate Centennial Commission",35.90590,-75.67410,,"Manteo","Dare County",North Carolina,"Marker is at the intersection of North Virginia Dare Avenue (U.S. 64/264) and Agona Street, on the right when traveling west on North Virginia Dare Avenue. ",,http://www.hmdb.org/m.asp?m=4875
4950,,"Catalino Tingzon",,,"1994","the Southport Historical Society, on March 12.",33.91700,-78.01840,,"Southport","Brunswick County",North Carolina,"Marker is on East Bay Street near South Howe Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=4950
5091,,"Battle of Averasboro","Union Route to Bentonville","Carolinas Campaign",,"North Carolina Civil War Trails",35.29737,-78.59804,,"Dunn","Harnett County",North Carolina,"Marker is at the intersection of Harnett-Dunn Highway (U.S. 55) and Paul Green Memorial Highway (North Carolina Highway 421), on the left when traveling east on Harnett-Dunn Highway. ",,http://www.hmdb.org/m.asp?m=5091
5230,,"Lumberton Bicentennial Park",,,,,34.62079,-79.01030,,"Lumberton","Robeson County",North Carolina,"Marker is at the intersection of North Water Street and W 6th Street and W Elizabethtown Road, on the left when traveling north on North Water Street. ",,http://www.hmdb.org/m.asp?m=5230
5256,"I-67","First Rural Health Department",,,"1986","Division of Archives and History",34.61800,-79.00828,,"Lumberton","Robeson County",North Carolina,"Marker is on 2nd (State Highway 72) east of Elm Street, on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=5256
5295,,"First Hebrew Congregation",,,,,34.62097,-79.01014,"122 W Elizabethtown Rd","Lumberton","Robeson County",North Carolina,"Marker is on Water Street north of Elizabethtown Road, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=5295
5375,"D-79","Boundary House",,,"1976","Division of Archives and History",33.90556,-78.58583,,"Calabash","Brunswick County",North Carolina,"Marker is at the intersection of U.S. 17 and Country Club Road on U.S. 17. ",,http://www.hmdb.org/m.asp?m=5375
5511,"A-61","Joseph C. Price","(1854–1893)",,,"Archives and Highway Departments",36.29626,-76.21832,,"Elizabeth City","Pasquotank County",North Carolina,"Marker is at the intersection of Sourthern Avenue and Riverside Avenue, on the right when traveling north on Sourthern Avenue. ",,http://www.hmdb.org/m.asp?m=5511
5528,"A-43","Mount Lebanon Church",,,"1998","Division of Archives and History",36.29636,-76.22715,,"Elizabeth City","Pasquotank County",North Carolina,"Marker is at the intersection of West Ehringhauas Street (U.S. 17) and Culpepper Street, on the right when traveling west on West Ehringhauas Street. ",,http://www.hmdb.org/m.asp?m=5528
5535,,"Brunswick Town State Historic Site",,,"1972","Department of Archives and History",34.03980,-77.94630,"8884 Saint Philips Rd SE","Winnabow","Brunswick County",North Carolina,"Marker is on St. Philips Road east of River Road (North Carolina Highway 133). ",,http://www.hmdb.org/m.asp?m=5535
5832,"D-109","Hurricane Hazel",,,"2007","North Carolina Office of Archives and History",33.91111,-78.07361,,"Oak Island","Brunswick County",North Carolina,"Marker is on Country Club Drive (State Highway 133) south of Yaupon Way, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=5832
5833,,"Battle of Averasboro","Phase Two – March 16, 1865",,"1961","Archives and Highway Departments. Confederate Centennial Commission",35.26333,-78.67286,,"Dunn","Harnett County",North Carolina,"Marker is at the intersection of State Highway 82 and Magruder Road, on the right when traveling north on State Highway 82. ",,http://www.hmdb.org/m.asp?m=5833
5834,"D-62","Fort Caswell",,,"1969","Archives and Highway Departments",33.90861,-78.07361,,"Oak Island","Brunswick County",North Carolina,"Marker is at the intersection of Country Club Road (State Highway 133) and Yaupon Drive, on the right when traveling south on Country Club Road. ",,http://www.hmdb.org/m.asp?m=5834
5835,"H 28","Sherman's March",,,"1940","Department of Conservation and Development",35.27703,-78.62873,,"Dunn","Harnett County",North Carolina,"Marker is at the intersection of Long Branch Road and South Clinton Avenue (U.S. 301), on the left when traveling west on Long Branch Road. ",,http://www.hmdb.org/m.asp?m=5835
5843,,"Bentonville",,,"1927","The North Carolina Historic Commission & The North Carolina Division United Daughters of the Confederacy",35.31615,-78.29742,,"Bentonville","Johnston County",North Carolina,"Marker is at the intersection of Harper House Road (County Route 1008) and Bass Road (County Route 1194), on the left when traveling east on Harper House Road. ",,http://www.hmdb.org/m.asp?m=5843
5844,,"Merging of the Armies","Sherman’s Right Wing Arrives","Carolinas Campaign",,"North Carolina Civil War Trails",35.31625,-78.29735,,"Bentonville","Johnston County",North Carolina,"Marker is at the intersection of Harper House Road (County Route 1008) and Bass Road (County Route 1194), on the left when traveling east on Harper House Road. ",,http://www.hmdb.org/m.asp?m=5844
5845,,"Confederate North Carolina Junior Reserve Line",,,"2005","North Carolina Civil War Trails",35.31619,-78.29740,,"Bentonville","Johnston County",North Carolina,"Marker is at the intersection of Harper House Road (County Route 1008) and Bass Road (County Route 1194), on the left when traveling east on Harper House Road. ",,http://www.hmdb.org/m.asp?m=5845
5847,,"Confederate High Tide",,,"2005","North Carolina Civil War Trails",35.30881,-78.30889,,"Bentonville","Johnston County",North Carolina,"Marker is on Harper House Road (County Route 1008), on the left. ",,http://www.hmdb.org/m.asp?m=5847
5851,,"Union Artillery at the Morris Farm",,,"2005","North Carolina Civil War Trails",35.30836,-78.30942,,"Bentonville","Johnston County",North Carolina,"Marker is on Harper House Road (County Route 1008), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=5851
5855,"H-1","Battle of Bentonville",,,"1907","Department of Archives and History",35.28211,-78.35832,,"Bentonville","Johnston County",North Carolina,"Marker is at the intersection of U.S. 701 and Harper House Road (County Route 1008), on the left when traveling south on U.S. 701. ",,http://www.hmdb.org/m.asp?m=5855
5873,,"Hardee’s Counterattack",,,"2005","North Carolina Civil War Trails",35.34652,-78.29386,,"Bentonville","Johnston County",North Carolina,"Marker is at the intersection of Westbrook Lowgrounds Road (County Route 1198) and Bentonville Road (County Route 1197), on the right when traveling east on Westbrook Lowgrounds Road. ",,http://www.hmdb.org/m.asp?m=5873
5877,,"Village of Bentonville",,,"2005","North Carolina Civil War Trails",35.34668,-78.29396,,"Bentonville","Johnston County",North Carolina,"Marker is at the intersection of Westbrook Lowgrounds Road (County Route 1198) and Bentonville Road (County Route 1197), on the right when traveling east on Westbrook Lowgrounds Road. ",,http://www.hmdb.org/m.asp?m=5877
5881,,"Fighting South of the Goldsboro Road: The “Bull Pen”",,,"2005","North Carolina Civil War Trails",35.31463,-78.29997,,"Bentonville","Johnston County",North Carolina,"Marker is on Harper House Road (County Route 1008), on the right. ",,http://www.hmdb.org/m.asp?m=5881
5882,,"Confederate Line Crossing the Goldsboro Road",,,"2005","North Carolina Civil War Trails",35.31476,-78.29958,,"Bentonville","Johnston County",North Carolina,"Marker is on Harper House Road (County Route 1008), on the right when traveling east. ",,http://www.hmdb.org/m.asp?m=5882
5988,,"Franklin Square","“The Grove”",,,,33.92028,-78.01880,,"Southport","Brunswick County",North Carolina,"Marker is on North Dry Street south of E West Street. ",,http://www.hmdb.org/m.asp?m=5988
5996,,"Southport’s First Fire Alarm",,,,,33.91960,-78.01860,,"Southport","Brunswick County",North Carolina,"Marker is on East Nash Street west of Howe Street (North Carolina Highway 211), on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=5996
6066,,"Texas",,,"1964","State of Texas",35.30230,-78.32056,,"Bentonville","Johnston County",North Carolina,"Marker is on Harper House Road (County Route 1008), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=6066
6067,,"North Carolina Monument",,,"1992","United Daughters of the Confederacy – Harper House, Bentonville Chapter",35.30225,-78.32076,,"Bentonville","Johnston County",North Carolina,"Marker is on Harper House Road (County Route 1008), on the left when traveling east. ",,http://www.hmdb.org/m.asp?m=6067
6095,,"Old Jail",,,,,33.92056,-78.01611,,"Southport","Brunswick County",North Carolina,"",,http://www.hmdb.org/m.asp?m=6095
6227,,"Railroad & Religion on Rhett Street",,,,,33.92082,-78.01586,,"Southport","Brunswick County",North Carolina,"Marker is at the intersection of Rhett Street and Nash Street, on the right when traveling north on Rhett Street. ",,http://www.hmdb.org/m.asp?m=6227
6229,,"Smithville Burying Ground",,,,,33.92056,-78.01556,,"Southport","Brunswick County",North Carolina,"Marker is on Rhett Street north of Monroe Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=6229
6317,"D-30","First Post Road",,,"1942","State Historical Commission",33.89574,-78.59170,,"Calabash","Brunswick County",North Carolina,"Marker is on U.S. 17 near the South Carolina line, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=6317
6320,"D-24","Robert Howe",,,"1940","Department of Conservation and Historic Resources",34.22917,-77.99000,,"Belville","Brunswick County",North Carolina,"Marker is on River Road SE (State Highway 133) south of U.S. 17, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=6320
6410,"D-4","Stamp Act",,,"1936","Department of Conservation and Development",34.22900,-77.98980,,"Belville","Brunswick County",North Carolina,"Marker is on River Road SE (State Highway 133) south of U.S. 17, on the right. ",,http://www.hmdb.org/m.asp?m=6410
6419,"D-25","Alfred Moore",,,"1940","State Historical Commission",34.22890,-77.98955,,"Belville","Brunswick County",North Carolina,"Marker is on River Road SE (State Highway 133) south of U.S. 17, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=6419
6420,"D-16","Spanish Attack",,,"1948","Archives, Conservation and Highway Departments",34.06916,-77.95648,,"Smithville","Brunswick County",North Carolina,"Marker is on River Road SE (U.S. 133) just north of Plantation Road, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=6420
6435,"D-3","Orton",,,"1936","Department of Conservation and Development",34.22861,-77.98910,,"Belville","Brunswick County",North Carolina,"Marker is on River Road SE (State Highway 133) south of U.S. 17, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=6435
6436,"D-14","Arthur Dobbs","1689–1765",,"2013","State Historical Commission",34.06929,-77.95641,,"Smithville","Brunswick County",North Carolina,"Marker is on River Road SE south of Route 17, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=6436
6437,"DDD-2","Fort Anderson",,,"1961","the Archives and Highway Departments and the Confederate Centennial Commission",34.22833,-77.98861,,"Belville","Brunswick County",North Carolina,"Marker is on River Road SE (U.S. 133) south of Route 17, on the right when traveling south. ",,http://www.hmdb.org/m.asp?m=6437
6438,"D-119","Fort Anderson",,,"1961","the Archives and Highway Departments and the Confederate Centennial Commission",34.07056,-77.95556,,"Winnabow","Brunswick County",North Carolina,"Marker is at the intersection of River Road SE (State Highway 133) and Plantation Road (Local Road 1529), on the left when traveling south on River Road SE. ",,http://www.hmdb.org/m.asp?m=6438
6451,"D-54","Brunswick",,,"1954","the Archives Conservation and Highway Departments",34.06942,-77.95633,,"Smithville","Brunswick County",North Carolina,"Marker is on Plantation Road north of Plantation Road, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=6451
6467,"D-55","St. Philips Church",,,"1954","the Archives Conservation and Highway Departments",34.06289,-77.96558,,"Winnabow","Brunswick County",North Carolina,"Marker is at the intersection of River Road (State Highway 133) and Plantation Road, on the left when traveling south on River Road. ",,http://www.hmdb.org/m.asp?m=6467
6483,"D-73","John LaPierre",,,"1968","Archives and Highway Departments",34.03960,-77.94680,"8884 St. Philips Road SE","Winnabow","Brunswick County",North Carolina,"Marker is at the intersection of St. Philips Road and Plantation Road on St. Philips Road. ",,http://www.hmdb.org/m.asp?m=6483
6494,,"Fort Anderson",,,"1919","New Hanover Historical Commission",34.03933,-77.94670,,"Winnabow","Brunswick County",North Carolina,"Marker can be reached from St. Philips Road east of Plantation Road. ",,http://www.hmdb.org/m.asp?m=6494
6510,,"Colonel Maurice Moore",,,"1902","the North Carolina Society of the Colonial Dames of America",34.03933,-77.94675,,"Winnabow","Brunswick County",North Carolina,"Marker can be reached from St. Philips Road. ",,http://www.hmdb.org/m.asp?m=6510
6515,,"Fort Anderson","One Shovelful at a Time","Confederate Lifeline",,"North Carolina Civil War Trails",34.03944,-77.94630,,"Winnabow","Brunswick County",North Carolina,"Marker is on St. Philips Road east of Plantation Road. ",,http://www.hmdb.org/m.asp?m=6515
6972,,"The Monument and the General",,,,"Guilford Courthouse National Military Park - National Park Service - Dept of the Interior",36.13239,-79.84453,"2332 New Garden Road","Greensboro","Guilford County",North Carolina,"Marker is on Guilford Courthouse Auto Tour Road, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=6972
6975,,"Nathanael Greene",,,"1915","The Guilford Battle Ground Company",36.13223,-79.84446,"2332 New Garden Road","Greensboro","Guilford County",North Carolina,"Marker is on Guilford Courthouse NMP Tour Road, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=6975
7536,"H-94","Lamar Stringfield","1897 - 1959",,"1988","N.C. Division of Archives and History",35.78286,-78.63461,"210 N. Person St.","Raleigh","Wake County",North Carolina,"Marker is on North Person Street near E. Jones Street, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=7536
9441,"G-86","Henry Pattillo","1726-1801",,"1967","Archives and Highway Departments",36.46806,-78.55830,,"Stovall","Granville County",North Carolina,"Marker is at the intersection of U.S. 15 and Stovall Road (Local Route 1506), on the left when traveling north on U.S. 15. ",,http://www.hmdb.org/m.asp?m=9441
9460,,"The New Fort in Virginia / Virginia Dare",,,"1896","Roanoke Colony Memorial Association",35.93741,-75.70901,"1401 National Park Drive","Manteo","Dare County",North Carolina,"Marker can be reached from National Park Drive, 3 miles U.S. 64. ",,http://www.hmdb.org/m.asp?m=9460
9462,"B-44","Andrew Cartwright",,,"1965","Archives and Highway Departments",35.89043,-75.66168,,"Manteo","Dare County",North Carolina,"Marker is at the intersection of North Virginia Dare Avenue (U.S. 64/264) and Russel Twiford Road, on the right when traveling west on North Virginia Dare Avenue. ",,http://www.hmdb.org/m.asp?m=9462
